0,1,2,3,4
"[1855.0, 18.747051984163473, 'Conservador', 1854.0, 10.256860046870788, 56.87796361832498, 'Agresivo', 12363]","[1860.0, 4.749857278240695, 'Conservador', 1855.0, 18.747051984163473, 56.14111328525692, 'Conservador', 12776]","[1866.0, 2.0896894120158667, 'Agresivo', 1855.0, 18.747051984163473, 56.14111328525692, 'Conservador', 13496]","[1922.0, 2.7119058965427234, 'Agresivo', 1855.0, 18.747051984163473, 56.14111328525692, 'Conservador', 13526]","[1926.0, 0.7824121384201388, 'Conservador', 2016.0, 1.5363812941201185, 42.77507679441993, 'Conservador', 13540]"
"[241.0, 14.66118499575082, 'Conservador', 240.0, 1.118623627191654, 49.095171601140066, 'Conservador', 17]","[291.0, 8.31770229321295, 'Agresivo', 242.0, 0, 38.59070669851412, 'Conservador', 221]",,,
,,,,
,,,,
